,ROWID,State lgd code,District lgd code,Sub-District lgd Code,ULB_RLB_Village lgd Code,Households,Population,Male population,Female population,Population in the age group 0 to 6 years,Male Population in the age group 0 to 6 years,Female Population in the age group 0 to 6 years,Scheduled Caste population,Male Scheduled Caste population,Female Scheduled Caste population ,Scheduled Tribe population,Male Scheduled Tribe population,Female Scheduled Tribe population ,Literate population ,Male literate population,Female literate population ,Illiterate population,Male illiterate population ,Female illiterate population ,Working population,Male working population,Female Woking population,Number of main workers,Number of male main workers,Number of female main worker,Number of main workers as cultivators,Number of male main workers as cultivators,Number of female main workers as cultivators,Number of main workers as agricultural labourers,Number of male main workers as agricultural labourers,Number of female main workers as agricultural labourers,Number of main workers in the household industry,Number of male main workers in the household industry,Number of female main workers in the household industry,Number of  main workers as Other workers,Number of male main workers as Other workers,Number of female main workers as Other workers,Number of marginal workers,Number of male marginal workers,Number of female marginal workers,Number of marginal workers as cultivators,Number of male marginal workers as cultivators,Number of female marginal workers as cultivators,Number of marginal workers as agricultural labourers,Number of male marginal workers as agricultural labourers,Number of female marginal workers as agricultural labourers,Number of marginal workers in the household industry,Number of male marginal workers in the household industry,Number of female marginal workers in the household industry,Number of marginal workers as Other workers,Number of male marginal workers as Other workers,Number of female marginal workers as Other workers,Number of marginal workers  who worked for 3 to 6 months,Number of male marginal workers  who worked for  3 to 6 months,Number of female marginal workers who worked for  3 to 6 months,Total Number of marginal workers as cultivators who worked for 3 to 6 months,Number of male marginal workers as cultivators who worked for 3 to 6 months,Number of female marginal workers as cultivators who worked for 3 to 6 months,Number of marginal workers as agricultural labour who worked for 3 to 6 months,Number of male marginal workers as agricultural labour who worked for 3 to 6 months,Number of female marginal workers as agricultural labour who worked for 3 to 6 months,Number of  marginal workers in household industry who worked for 3 to 6 months,Number of male marginal workers in household industry who worked for 3 to 6 months,Number of female marginal workers in household industry who  worked for 3 to 6 months,Number of marginal workers as Other workers who worked for 3 to 6 months,Number of male marginal workers as Other workers who worked for 3 to 6 months,Number of female marginal workers as Other workers who worked for 3 to 6 months,Number of marginal workers  who worked for 0 to 3 months,Number of male marginal workers  who worked for 0 to 3 months,Number of female marginal workers  who worked for 0 to 3 months,Number of marginal workers as cultivators who worked for 0 to 3 months,Number of male marginal workers as cultivators who worked for 0 to 3 months,Number of female marginal workers as cultivators who worked for 0 to 3 months,Total nuumber of marginal workers as agricultural labour who worked for 0 to 3 months,Number of male marginal workers in agricultural labour who  worked for 0 to 3 months,Number of female marginal workers as agricultural labour who worked for 0 to 3 months,Number of marginal workers in household industry who worked for 0 to 3 months,Number of male marginal workers in household industry who  worked for 0 to 3 months,Number of female marginal workers in household industry who  worked for 0 to 3 months,Number of marginal workers as Other workers who worked for 0 to 3 months,Number of male marginal workers as Other workers who worked for 0 to 3 months,Number of female marginal workers as Other workers who worked for 0 to 3 months,Number of Non workers,Number of male Non workers,Number of female Non workers,Source Year,YearCode
ROWID,1.0,0.021134612613952226,-1.4942598731572471e-05,0.00948681180881866,0.01310927948376724,0.0809865016698916,0.08820601631544334,0.08632017730099523,0.09022158224383486,0.10766249640778154,0.10671362471212678,0.10864962628235492,0.1260373685159268,0.12600620149035685,0.125975641465035,0.09350427419600792,0.093846755951011,0.09301049290862633,0.07446053977429619,0.07627640354086791,0.07215637525246357,0.13433685278230148,0.1267978184092547,0.14037657106517926,0.08330304132961211,0.07892226802536113,0.09642832109979135,0.07330739771633905,0.07195412488041819,0.07600375327655849,0.48030853660046285,0.5410410744882792,0.22714004530924223,0.42633503563279584,0.4531873596940334,0.3208302863585002,0.08091608925253395,0.07195944115338333,0.08680035275369394,0.04627887674242574,0.04712118226314063,0.041134253078733744,0.16567635335942796,0.15445440233176916,0.17636229835587144,0.20065583571185405,0.23476855837079835,0.1506259999709759,0.39319067162795546,0.39441171248841556,0.32951189457263425,0.13816031507259793,0.11954876155581382,0.13880193110383462,0.07752073711796449,0.0784255778978541,0.07465952866434665,0.15577435441397997,0.1493063125199843,0.16005069097886532,0.20438395896902817,0.235992616100486,0.1475917243672128,0.3823487203951116,0.385644829474861,0.3107607450136339,0.13378197197031272,0.11760100192612488,0.1322083887804966,0.07356241021943334,0.07615099529142494,0.06846548374454915,0.20497489107350117,0.17022917978081223,0.2263903418282311,0.10667099516204326,0.1154456685328213,0.08829552325872012,0.26254960844032943,0.2543545777948906,0.2245201774484007,0.13051167654467072,0.11055925719617782,0.12726522966576567,0.10076607879105508,0.08817335804508011,0.11649282195214594,0.09080049118410664,0.09557704654091131,0.08796348259820407,,
State lgd code,0.021134612613952226,1.0,0.01041712205633298,0.026324485843577057,0.37626518237290785,0.021064009314891188,0.013975672903275517,0.012467081324899418,0.015645115007153567,0.005176510845951813,0.004324955461511288,0.006120858040800753,0.005715934830697441,0.003559132250050004,0.00799789496094974,0.0861590915764166,0.08542084901450726,0.08676712942615343,0.015731373637232066,0.014048307097933779,0.017747547392351314,0.007435900650194789,0.005423549916314623,0.009093714120928187,0.022230474280916696,0.01609275179276665,0.04351034505895631,0.02367926046351682,0.017640594335572666,0.0468651674753594,0.10834033585206722,0.0734470728980515,0.1521259981368037,0.24093199396865173,0.1608676889591865,0.325733741402156,0.01631426645052183,0.006046838458675793,0.034860078084057354,0.012946047761498361,0.011979718953731474,0.016438761474585336,0.006087085839224805,-0.00529649675396437,0.022494489716517546,-0.11820529400749245,-0.10866195860646828,-0.10832395464465412,0.05194264327846356,-0.021748456138658674,0.11642532699934587,-0.005145447177694555,-0.014733307582082985,0.002673502276149266,0.00903889883805702,0.007103299153382737,0.01191874982505399,0.011363509381672106,-0.0017095266570160692,0.029643162657274725,-0.09570505689165945,-0.08579070555210655,-0.08571297302443825,0.06669416339087686,-0.012793221583109284,0.13405061841163346,-0.0028180837534130896,-0.013594594646038452,0.005762436076945365,0.009039094027903942,0.0073316368322747525,0.011485132752718286,-0.028005522505835708,-0.026498812886264433,-0.02636633209801824,-0.1204753574142749,-0.11103351080974447,-0.11237741650190979,-0.016904281044325845,-0.04341225641536402,0.008307774524194659,-0.012136362333359439,-0.016879580465562736,-0.00749943215428847,0.00835025260030794,0.0051489937754229335,0.013895994295905906,0.008743895325892776,0.00749615729169905,0.009454896234530863,,
District lgd code,-1.4942598731572471e-05,0.01041712205633298,1.0,0.25648164577115606,0.25735223778774874,0.018071079929286634,0.01976847948726746,0.019919249572465155,0.019580285698175857,0.021290915578176035,0.021481359280701405,0.02106536901705651,0.026195798348660655,0.026732441864832954,0.025607248450973286,0.0030288605441383763,0.0030685241588997675,0.0029840462450528324,0.019551235233335247,0.019863818400717,0.019145102258088787,0.02002622817508928,0.019641963843578077,0.020312897076434192,0.017322795469920434,0.018485309107061258,0.012633497200920642,0.01809480261186005,0.018979234727069385,0.013906331335294439,0.0022727764350356323,0.00047052874573055246,0.005413462973065445,0.00131800766533281,0.000843354875140425,0.0018375116650857358,0.017857426364959298,0.021844242617809716,0.0069216474615360745,0.018200329329913986,0.019040813315263697,0.014087616922158768,0.008049345950696162,0.009829043909098277,0.005174839661432469,-0.0027762301861431653,-0.0017714948215281304,-0.0030601157275158336,-0.0030903623796300307,-0.0031845144123233836,-0.0025064071670032706,0.005647575010689481,0.006840366567559174,0.004183520717147782,0.00997534552669462,0.011634823277918876,0.007177834371503576,0.007956484591802659,0.009700797291197534,0.005216677758522532,-0.0021395185008918904,-0.0011378797175508265,-0.002440072602617929,-0.0026556465310203815,-0.0028419868180260244,-0.001995423563299053,0.0055791601945363745,0.006924242592651087,0.003960586947694021,0.009618146557331063,0.011337121053764063,0.006857756021901533,0.00751263182229463,0.00962510677395623,0.0035275536329133,-0.0030821998401106025,-0.002450965335909549,-0.0031298593126190257,-0.0031776550980869367,-0.0029962944210486283,-0.002786572936042061,0.004963255316611423,0.005618722675905582,0.003910690633102653,0.011846447985856616,0.012821351889131982,0.008867657650246445,0.021191435998346945,0.021688243156564424,0.020885472884622034,,
Sub-District lgd Code,0.00948681180881866,0.026324485843577057,0.25648164577115606,1.0,0.809541261289964,0.08336433544792941,0.08300523557678308,0.08227669023998642,0.08373454556824408,0.0780996523603552,0.07724154362682308,0.07900467496674561,0.08607469449768902,0.0859651863946294,0.08612605777160129,0.047563463362734454,0.04795365169127444,0.0470944250014667,0.08366908430327899,0.08297963103478287,0.08438611337774722,0.07853878791394024,0.0771694416148177,0.07954882056440361,0.08132178472919104,0.08172696427519219,0.07738414971663611,0.08083661196172716,0.08137005242954932,0.07574007206583644,0.020185753029996478,0.01896968241587899,0.01737030547965848,0.024460755490397845,0.02659787126639841,0.017502949241092105,0.07347372462232223,0.0741844856120913,0.06067361705171023,0.08063052323201969,0.08122769902540433,0.07523840816069036,0.07584951854398872,0.07494204884263113,0.07456699555272019,0.022578588218937202,0.022704849654289507,0.019402774333332453,0.00808678266170671,0.009908382459128007,0.0050038990761906614,0.07078700627239598,0.062137729977238175,0.07043952948843708,0.07923769072104561,0.07888235168480856,0.07832866115565733,0.07398152156363651,0.07328596786477358,0.07262417578929423,0.025604126951238905,0.02609213328612118,0.020821498705385324,0.008384205187070212,0.009991691533511277,0.0052833950950468885,0.06950754017860883,0.06025277713804168,0.06934179084970571,0.07686519276274799,0.07686319341862317,0.07564511204371262,0.07704819331299596,0.07749619925997091,0.06606774366954338,0.005921134430742714,0.0031314132509010764,0.0070440378262297525,0.0037409863370168207,0.005336932504959769,0.0017570404260512462,0.06362818654729663,0.060624899009375774,0.05762797163948184,0.0906784704314677,0.08693194498292876,0.08991620200313492,0.08361583715607344,0.08236317692417507,0.08426028458043475,,
ULB_RLB_Village lgd Code,0.01310927948376724,0.37626518237290785,0.25735223778774874,0.809541261289964,1.0,0.03632926952495322,0.03635700051367656,0.035842783417270756,0.036894178647447345,0.03558745011606848,0.03551079492847854,0.03565000615411376,0.0390048732880171,0.03890091646458787,0.03908574286745314,0.05264645581324861,0.05259002864584418,0.05261987391276118,0.03585617221354854,0.03557785075811116,0.036142692625819456,0.03718763150474737,0.03604612787464848,0.038075050719158045,0.035637767148706326,0.034758790004409235,0.03769233542535791,0.03605534131692914,0.035090518206247784,0.03857356797976176,0.0435122151246588,0.03205624990837334,0.05578641039520689,0.09867313584760021,0.07326099602311412,0.12221514941321232,0.03533727996877265,0.03519960724832084,0.03016480212563236,0.03189138043163035,0.032640470573919875,0.027654162032234853,0.02740264886529556,0.02588086674241537,0.028682091765794518,-0.038625447264627195,-0.032892446578908115,-0.037124757521691795,0.028711585693425277,0.004862441962653447,0.047689607055115144,0.022511401198993187,0.020219370059246233,0.022051073218707747,0.0283199608614601,0.030103341138994082,0.024987410053395047,0.028612908473391707,0.026718687666523053,0.03040528650434795,-0.030261764309347437,-0.022992215531379916,-0.02987955252677533,0.03400492285177023,0.0081048653317806,0.053759798058680724,0.023405547422883123,0.020915296844053053,0.02286833633784096,0.02755382288145525,0.02956893023171009,0.024058857224877647,0.015958419872732967,0.018222323726698682,0.010625554573147785,-0.04172755085225541,-0.040926490435614325,-0.03730800797234625,-0.00022515097562382812,-0.008486352673202314,0.0067691701043428205,0.01586106557913679,0.01498608912607447,0.014448338727096468,0.03180674951944939,0.03163274705057321,0.029297634687152786,0.03661312028788132,0.03701529710496165,0.0363474025545072,,
Households,0.0809865016698916,0.021064009314891188,0.018071079929286634,0.08336433544792941,0.03632926952495322,1.0,0.995338366917812,0.994055180118261,0.9957664202820139,0.982388828917402,0.9797806432937393,0.9846633466281076,0.8984503689391913,0.8969950335886705,0.899317530730717,0.4740522672029699,0.48948406066262395,0.45773372091530884,0.9971104584968964,0.9957695043225182,0.9973286646405625,0.9635670291089325,0.9611685464627964,0.9640089854479476,0.9977768009359401,0.9961250002722567,0.9731608041535024,0.9965051572851278,0.9947991837283316,0.9666708419911523,0.2848703277461619,0.28650732877853324,0.20610602473571973,0.33230013095904964,0.376510206174757,0.21476259142753693,0.8306991693501711,0.8243832390994527,0.7154238503085574,0.9947483143468113,0.9930278942088738,0.9655144680700148,0.8872766285241419,0.8759464532072861,0.8733171491368537,0.28481649704170026,0.32891921315687866,0.21665678464540813,0.17772097844003473,0.19725212369635728,0.13020517053031735,0.7226966299874559,0.6850199824367865,0.6805278038461634,0.9161379550606331,0.9045826171186891,0.9173521489164286,0.8858542121668728,0.875324686390993,0.8727396660589972,0.3396781453385562,0.3783003058417042,0.2546352263182376,0.18111451901953143,0.19778611319472272,0.13213504898446335,0.710178815036335,0.6664991616986042,0.6693679723929521,0.9103910703845937,0.9019954596854411,0.9086389914377154,0.7725840542762933,0.792298034195407,0.6410363206502443,0.035726785468029064,0.04460113381370908,0.025690793753244703,0.09223291069039613,0.11014613221485872,0.0613666776121853,0.6477774167630345,0.6601610584271219,0.558468668432638,0.8887913180145602,0.8625446570064087,0.860723733134502,0.9885243555068174,0.9833937394279972,0.990565115401843,,
Population,0.08820601631544334,0.013975672903275517,0.01976847948726746,0.08300523557678308,0.03635700051367656,0.995338366917812,1.0,0.9995728650731401,0.9994680257177163,0.9917460513929846,0.9903347720334705,0.9926826060126966,0.90296138188768,0.9031820188860435,0.9020485846699107,0.47573700627638654,0.4911942200581833,0.4593901453595415,0.998399874961981,0.9984879278869161,0.9968855999867916,0.9799815944606959,0.978445036063745,0.9796819896753356,0.9947607921183872,0.9965818620092171,0.9578115787835343,0.9918625999663171,0.9938917683850935,0.9473191953444807,0.2956289629356228,0.3007184846909731,0.20684994578977245,0.3378983699306819,0.3870930638119506,0.21195123848813602,0.8506013916424031,0.849553614426262,0.7214459101631737,0.9886555825347205,0.9906231953725135,0.9445112682748801,0.8996957373727382,0.8932480272405586,0.8781824365208488,0.2922783690018699,0.33955625076460494,0.22099793705574747,0.18996526077581313,0.2142475557374816,0.13581441758013676,0.7498445887325482,0.7178408369794427,0.700684468928039,0.9249793146731933,0.9183938423672842,0.9182052140886459,0.8974894933479974,0.8917491286016977,0.877176764580544,0.3470834842287856,0.38901480521942583,0.2585293374347697,0.1927192698294442,0.21403597164337496,0.13703435959213098,0.7381494200866536,0.700940202964915,0.689433908618964,0.9186840724755813,0.915003035658846,0.909648961052752,0.7882109175165585,0.8131869071434038,0.64715125497608,0.04014909296395291,0.049777747066336156,0.029095909074783936,0.10137129162170704,0.12238224502340353,0.06633299091220224,0.6677647695146308,0.682710798967095,0.5742680065893693,0.9009972018957264,0.8807054445199707,0.8601269863109545,0.997958101771614,0.9956683060540619,0.9983528782370762,,
Male population,0.08632017730099523,0.012467081324899418,0.019919249572465155,0.08227669023998642,0.035842783417270756,0.994055180118261,0.9995728650731401,1.0,0.9980879845676565,0.9919448043881295,0.9909480447392927,0.9924199322463573,0.8961556587603852,0.8967514409721297,0.8948503165032061,0.47471187607644516,0.49033915360636604,0.45819509114129,0.9978964284044768,0.9988558245613749,0.9953275839063089,0.979834085581225,0.9791130195716793,0.978858057728838,0.9945787109572508,0.9974845139920526,0.9537540312835541,0.9921988886347135,0.9952095747410818,0.943733034761023,0.29340445999477266,0.29866893162177405,0.20485071323261478,0.3346817506173785,0.38416279513101415,0.20878917273124267,0.8497393447085222,0.8496175445768462,0.7188172414675036,0.989211541485545,0.9921256017682064,0.941163474302177,0.8947346981370609,0.888881917037352,0.8725235030725118,0.29034004225166493,0.33744685271875313,0.2194381588917492,0.18769480326614174,0.2122076702648794,0.13367712722322517,0.7477407235273428,0.7149104844901182,0.6994175175948805,0.9199971063786155,0.9140878386291463,0.912250737282624,0.892325713310827,0.8871187293798247,0.871416415965503,0.3448112367173064,0.38661896615293706,0.2567354527109224,0.19042646672908972,0.2119821592046255,0.13491279321863103,0.7360622404521188,0.6981065787167638,0.6881392565395952,0.9134952556887217,0.9104044012882596,0.90364752174286,0.7852186446645067,0.810857651571246,0.6436268827099909,0.039813905050545814,0.04941738381583514,0.028816894134884398,0.10012601152156964,0.1212723213022793,0.06518684494498828,0.6659454161927999,0.6798234161373784,0.5733782929265574,0.8979147222469873,0.8785914512136612,0.8554166008548295,0.9973801307742896,0.995453065784828,0.9975663915248656,,
Female population,0.09022158224383486,0.015645115007153567,0.019580285698175857,0.08373454556824408,0.036894178647447345,0.9957664202820139,0.9994680257177163,0.9980879845676565,1.0,0.9905239320684878,0.9886514858272556,0.9919744791231192,0.9096455794731554,0.9094473442123334,0.9091717702899598,0.47640116914123665,0.4916530065680346,0.4602604259816424,0.9979546759031246,0.9970702496361299,0.9976187931809076,0.9791577581304733,0.9767126868990826,0.9796133214265165,0.993960630385645,0.9945693369684777,0.9613735785325606,0.9904868777995083,0.9914186580671004,0.9503657258712773,0.2978132509999792,0.30270240094532513,0.2088723858348739,0.3411471924908087,0.38997270861368377,0.21526621674244562,0.8507054546821174,0.8486253743391526,0.7236517367110401,0.9870379502955297,0.9879473743063215,0.9472946217022792,0.904324622297597,0.8972194943759879,0.883611847661201,0.2941466734057323,0.3415677786104073,0.22251569018735864,0.19230740956019685,0.21630790155262125,0.1380625750619627,0.7514361077292837,0.7203869689461022,0.7013916045809286,0.9296063214727995,0.9222728695198061,0.923924073205332,0.9023468556489348,0.8960170454396468,0.8827203660739672,0.3492691544303086,0.3912961058046109,0.2602704900075663,0.19508357774635432,0.2161120729072429,0.1392637391401098,0.7397341147831477,0.70339543609981,0.690183305189921,0.9235479972056421,0.919212049081727,0.9154288589817824,0.7907551722952604,0.8149660645999709,0.6504315940077781,0.04048265555313267,0.05012969263069767,0.029377933188165083,0.10265873581713239,0.12349744340631363,0.0675451458069907,0.6691215718298903,0.6852444118677321,0.5746816664694568,0.9035283634169442,0.8821762742834419,0.8645160606010879,0.9975965151269046,0.9949042334373621,0.9982235900809063,,
Population in the age group 0 to 6 years,0.10766249640778154,0.005176510845951813,0.021290915578176035,0.0780996523603552,0.03558745011606848,0.982388828917402,0.9917460513929846,0.9919448043881295,0.9905239320684878,1.0,0.999728125250145,0.9996632877344296,0.9066482552673369,0.9076036312364794,0.9049538466204882,0.4907327958423862,0.5064709295366734,0.47407877527249276,0.9853387924682272,0.9870982948479339,0.9818186483113122,0.988863779470496,0.9870055086240589,0.988816846320207,0.9820125672759825,0.985607712825077,0.9391059558699358,0.9784749777618468,0.9823767894696126,0.9269636084399436,0.3175336345896709,0.32714635264994,0.21356807885703002,0.35756902227226806,0.4123516924473502,0.22015893572738704,0.8451897828228309,0.8442177158945589,0.7167143530010042,0.9735544256459137,0.9774561568317262,0.9220249862137764,0.8944320789707642,0.8904813361097987,0.8694548774797581,0.29963545823974597,0.3505216504178981,0.2249623546143475,0.21674413036726986,0.24382713008914528,0.1555740296170486,0.7519347328673626,0.7198240178817161,0.7026511265776756,0.9120195569927968,0.9086601594854975,0.9004065740369533,0.8918305309767421,0.8894005682877619,0.8669772802315201,0.3528651455155663,0.3989499016945353,0.26051516863706287,0.21865136528572315,0.24318277904544042,0.15512813997357403,0.7410046942043889,0.7038846337975347,0.6919215386957083,0.9059558530778173,0.9060114635079827,0.8914555283846715,0.7861714505791199,0.8081631635742366,0.6495898518600127,0.0480559163567595,0.057842436186200455,0.03596278366051521,0.11959808032442588,0.14067849482235184,0.08138218633255749,0.6669443814554318,0.6809470947225171,0.574170145541747,0.8873182874691975,0.8667584994205267,0.8482012828718459,0.992555990787333,0.9925971135591225,0.9916124035066408,,
